web-scraper-order,web-scraper-start-url,product_link,product_link-href,Name,Number_Reviews,Manufacturer,Price,Star_Rating,Review_Link,Review_Link_Href,Review_Count
1580708063-185,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks Vacuum Insulated Stainless Steel Traveler Tumbler Coffee Mug 16 Oz - Metallic Red,https://www.amazon.com/Starbucks-Insulated-Stainless-Traveler-Tumbler/dp/B08167PGC5/ref=sr_1_34?keywords=starbucks&qid=1580707979&sr=8-34,Starbucks Vacuum Insulated Stainless Steel Traveler Tumbler Coffee Mug 16 Oz - Metallic Red,5 ratings,Starbucks,$105.49 ,4.0 out of 5 stars,See all 3 customer reviews,https://www.amazon.com/Starbucks-Insulated-Stainless-Traveler-Tumbler/product-reviews/B08167PGC5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3
1580708072-187,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks Limited Edition Ceramic Travel Mug Mermaid,https://www.amazon.com/Starbucks-Limited-Ceramic-Travel-Mermaid/dp/B0815WW2XW/ref=sr_1_32?keywords=starbucks&qid=1580707979&sr=8-32,Starbucks Limited Edition Ceramic Travel Mug Mermaid,17 ratings,Starbucks,$41.00 ,4.3 out of 5 stars,See all 4 customer reviews,https://www.amazon.com/Starbucks-Limited-Ceramic-Travel-Mermaid/product-reviews/B0815WW2XW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4
1580708085-190,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks 2019 Holiday Season MIRROR GLITTER RED COLD CUP (24 OZ),https://www.amazon.com/Starbucks-Holiday-Season-MIRROR-GLITTER/dp/B08177RQ4V/ref=sr_1_29?keywords=starbucks&qid=1580707979&sr=8-29,Starbucks 2019 Holiday Season MIRROR GLITTER RED COLD CUP (24 OZ),17 ratings,Starbucks,$24.95 ,3.7 out of 5 stars,See all 6 customer reviews,https://www.amazon.com/Starbucks-Holiday-Season-MIRROR-GLITTER/product-reviews/B08177RQ4V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,6
1580708149-204,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,"Starbucks Gift Cards, Multipack of 8",https://www.amazon.com/Starbucks-Gift-Cards-Multipack-10/dp/B016CDNMMG/ref=sr_1_14?keywords=starbucks&qid=1580707979&sr=8-14,"Starbucks Gift Cards, Multipack of 8",141 ratings,Starbucks,$80.00 ,4.8 out of 5 stars,See all 77 customer reviews,https://www.amazon.com/Starbucks-Gift-Cards-Multipack-10/product-reviews/B016CDNMMG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,77
1580708048-182,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks 2019 Black Luster Cold Cup Limited Edition Christmas Tree Ceramic Ornament,https://www.amazon.com/Starbucks-Limited-Christmas-Ceramic-Ornament/dp/B081LSKH8J/ref=sr_1_37?keywords=starbucks&qid=1580707979&sr=8-37,Starbucks 2019 Black Luster Cold Cup Limited Edition Christmas Tree Ceramic Ornament,17 ratings,Starbucks,$15.98 ,4.8 out of 5 stars,See all 5 customer reviews,https://www.amazon.com/Starbucks-Limited-Christmas-Ceramic-Ornament/product-reviews/B081LSKH8J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5
1580708090-191,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,"Starbucks Cold Cup, Grande 16 fl oz",https://www.amazon.com/Starbucks-Cold-Cup-Grande-16/dp/B0029DDJEK/ref=sr_1_28?keywords=starbucks&qid=1580707979&sr=8-28,"Starbucks Cold Cup, Grande 16 fl oz",783 ratings,Starbucks,$13.99 ,4.1 out of 5 stars,See all 681 customer reviews,https://www.amazon.com/Starbucks-Cold-Cup-Grande-16/product-reviews/B0029DDJEK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,681
1580708162-207,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks 2019 Holiday Stainless Steel Green Mistletoe Holly 24 oz Cold Beverage Tumbler,https://www.amazon.com/Starbucks-Holiday-Stainless-Mistletoe-Beverage/dp/B081MX8VP4/ref=sr_1_11?keywords=starbucks&qid=1580707979&sr=8-11,Starbucks 2019 Holiday Stainless Steel Green Mistletoe Holly 24 oz Cold Beverage Tumbler,2 ratings,Starbucks,$17.88 ,5.0 out of 5 stars,See all 1 customer reviews,https://www.amazon.com/Starbucks-Holiday-Stainless-Mistletoe-Beverage/product-reviews/B081MX8VP4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1
1580707996-172,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,"Starbucks 2018 Holiday Season Double Wall Stainless Steel Tumbler, 12 Fl Oz",https://www.amazon.com/Starbucks-Holiday-Season-Stainless-Tumbler/dp/B07KYWGPP6/ref=sr_1_47?keywords=starbucks&qid=1580707979&sr=8-47,"Starbucks 2018 Holiday Season Double Wall Stainless Steel Tumbler, 12 Fl Oz",32 ratings,Starbucks,$37.99 ,4.1 out of 5 stars,See all 16 customer reviews,https://www.amazon.com/Starbucks-Holiday-Season-Stainless-Tumbler/product-reviews/B07KYWGPP6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,16
1580708131-200,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks Reusable Cup To Go Travel Coffee Tea Tumbler 16 Oz (Pack of 3),https://www.amazon.com/Starbucks-Reusable-Travel-Coffee-Tumbler/dp/B00BR6QA64/ref=sr_1_18?keywords=starbucks&qid=1580707979&sr=8-18,Starbucks Reusable Cup To Go Travel Coffee Tea Tumbler 16 Oz (Pack of 3),177 ratings,Starbucks,$11.25 ,4.5 out of 5 stars,See all 127 customer reviews,https://www.amazon.com/Starbucks-Reusable-Travel-Coffee-Tumbler/product-reviews/B00BR6QA64/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,127
1580708158-206,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,"Starbucks 2020 Valentine's Day Limited Edition Pink HEARTS Acrylic Tumbler Cold Cup, 24 Fl Oz",https://www.amazon.com/Starbucks-Valentines-Limited-Acrylic-Tumbler/dp/B083TJGYCJ/ref=sr_1_12?keywords=starbucks&qid=1580707979&sr=8-12,"Starbucks 2020 Valentine's Day Limited Edition Pink HEARTS Acrylic Tumbler Cold Cup, 24 Fl Oz",null,Starbucks,$38.85 ,null,null,,0
