review,date,source,review_id,sentences,sentence_id,sentence,sent_len,emoji_desc
Its almost the day .  No time left to wait Send right message your valentines date Dragon DrinkLOML Pink DrinkBFFL DrinkAll for me,2020-02-12 19:30:00,Twitter,13,"['Its almost the day .', 'No time left to wait Send right message your valentines date Dragon DrinkLOML Pink DrinkBFFL DrinkAll for me']",0,"Its almost the day ., ",20,
Its almost the day .  No time left to wait Send right message your valentines date Dragon DrinkLOML Pink DrinkBFFL DrinkAll for me,2020-02-12 19:30:00,Twitter,13,"['Its almost the day .', 'No time left to wait Send right message your valentines date Dragon DrinkLOML Pink DrinkBFFL DrinkAll for me']",1,"No time left to wait Send right message your valentines date Dragon DrinkLOML Pink DrinkBFFL DrinkAll for me, ",108,
Just a reminder . ,2020-02-11 18:30:00,Twitter,14,['Just a reminder .'],0,"Just a reminder ., ",17,
The votes are in,2020-02-08 05:51:00,Twitter,15,['The votes are in'],0,"The votes are in, ",16,
Amount of snow falling outside Cold Brew sipped,2020-02-07 19:59:03,Twitter,16,['Amount of snow falling outside Cold Brew sipped'],0,"Amount of snow falling outside Cold Brew sipped, ",47,
"Sometimes its not the destination , but journey .  The nominees for Best Way to Order are",2020-02-07 04:30:13,Twitter,17,"['Sometimes its not the destination , but journey .', 'The nominees for Best Way to Order are']",0,"Sometimes its not the destination , but journey ., ",49,
"Sometimes its not the destination , but journey .  The nominees for Best Way to Order are",2020-02-07 04:30:13,Twitter,17,"['Sometimes its not the destination , but journey .', 'The nominees for Best Way to Order are']",1,"The nominees for Best Way to Order are, ",38,
"Whether in a drink or snack , we all have favorite flavor .  The contestants this Flavor FaceOff are",2020-02-07 03:30:42,Twitter,18,"['Whether in a drink or snack , we all have favorite flavor .', 'The contestants this Flavor FaceOff are']",0,"Whether in a drink or snack , we all have favorite flavor ., ",59,
"Whether in a drink or snack , we all have favorite flavor .  The contestants this Flavor FaceOff are",2020-02-07 03:30:42,Twitter,18,"['Whether in a drink or snack , we all have favorite flavor .', 'The contestants this Flavor FaceOff are']",1,"The contestants this Flavor FaceOff are, ",39,
"Perfect in their own ways , we always find ourselves coming back around to these circular classics .  The nominees for All Round Champion are",2020-02-07 02:54:11,Twitter,19,"['Perfect in their own ways , we always find ourselves coming back around to these circular classics .', 'The nominees for All Round Champion are']",0,"Perfect in their own ways , we always find ourselves coming back around to these circular classics ., ",100,
"Perfect in their own ways , we always find ourselves coming back around to these circular classics .  The nominees for All Round Champion are",2020-02-07 02:54:11,Twitter,19,"['Perfect in their own ways , we always find ourselves coming back around to these circular classics .', 'The nominees for All Round Champion are']",1,"The nominees for All Round Champion are, ",39,
Many of our favorite drinks begin with a simple shot espresso .  The nominees for Best Espresso Expression are,2020-02-07 01:35:00,Twitter,20,"['Many of our favorite drinks begin with a simple shot espresso .', 'The nominees for Best Espresso Expression are']",0,"Many of our favorite drinks begin with a simple shot espresso ., ",63,
Many of our favorite drinks begin with a simple shot espresso .  The nominees for Best Espresso Expression are,2020-02-07 01:35:00,Twitter,20,"['Many of our favorite drinks begin with a simple shot espresso .', 'The nominees for Best Espresso Expression are']",1,"The nominees for Best Espresso Expression are, ",45,
Every coffee needs a scrumptious sidekick .  The nominees for Pastry Perfection are,2020-02-07 00:30:43,Twitter,21,"['Every coffee needs a scrumptious sidekick .', 'The nominees for Pastry Perfection are']",0,"Every coffee needs a scrumptious sidekick ., ",43,
Every coffee needs a scrumptious sidekick .  The nominees for Pastry Perfection are,2020-02-07 00:30:43,Twitter,21,"['Every coffee needs a scrumptious sidekick .', 'The nominees for Pastry Perfection are']",1,"The nominees for Pastry Perfection are, ",38,
"From cozy to refreshing , theres a tea for everyone .  Introducing the nominees Tea in Leafing Role",2020-02-06 23:29:12,Twitter,22,"['From cozy to refreshing , theres a tea for everyone .', 'Introducing the nominees Tea in Leafing Role']",0,"From cozy to refreshing , theres a tea for everyone ., ",53,
"From cozy to refreshing , theres a tea for everyone .  Introducing the nominees Tea in Leafing Role",2020-02-06 23:29:12,Twitter,22,"['From cozy to refreshing , theres a tea for everyone .', 'Introducing the nominees Tea in Leafing Role']",1,"Introducing the nominees Tea in Leafing Role, ",44,
"Meatless but mighty , you cant go wrong with one of these breakfast champions .  The Nominees for Veggie Victors are",2020-02-06 22:36:46,Twitter,23,"['Meatless but mighty , you cant go wrong with one of these breakfast champions .', 'The Nominees for Veggie Victors are']",0,"Meatless but mighty , you cant go wrong with one of these breakfast champions ., ",79,
"Meatless but mighty , you cant go wrong with one of these breakfast champions .  The Nominees for Veggie Victors are",2020-02-06 22:36:46,Twitter,23,"['Meatless but mighty , you cant go wrong with one of these breakfast champions .', 'The Nominees for Veggie Victors are']",1,"The Nominees for Veggie Victors are, ",35,
"From a simplistic white dot to intricate layers and bold colors , these are the nominees for Best Dressed Drink . ",2020-02-06 21:33:52,Twitter,24,"['From a simplistic white dot to intricate layers and bold colors , these are the nominees for Best Dressed Drink .']",0,"From a simplistic white dot to intricate layers and bold colors , these are the nominees for Best Dressed Drink ., ",113,
"is back again for another year of voting the things you love .  Were kicking off with hottest thing in coffee , which also coolest Presenting Battle Cold Brew",2020-02-06 20:30:22,Twitter,25,"['is back again for another year of voting the things you love .', 'Were kicking off with hottest thing in coffee , which also coolest Presenting Battle Cold Brew']",0,"is back again for another year of voting the things you love ., ",62,
"is back again for another year of voting the things you love .  Were kicking off with hottest thing in coffee , which also coolest Presenting Battle Cold Brew",2020-02-06 20:30:22,Twitter,25,"['is back again for another year of voting the things you love .', 'Were kicking off with hottest thing in coffee , which also coolest Presenting Battle Cold Brew']",1,"Were kicking off with hottest thing in coffee , which also coolest Presenting Battle Cold Brew, ",94,
How do you drink your Iced Coffee,2020-02-05 22:37:39,Twitter,26,['How do you drink your Iced Coffee'],0,"How do you drink your Iced Coffee, ",33,
"Iced , no matter what . ",2020-02-05 20:50:18,Twitter,27,"['Iced , no matter what .']",0,"Iced , no matter what ., ",23,
"We all need to have a fair chance do what we want .  How you live , how love believe Thats I be seen Donise Starbucks lawyer American Bar Association Spirit of Excellence award recipient is an advocate for workplace diversity",2020-02-04 22:32:14,Twitter,28,"['We all need to have a fair chance do what we want .', 'How you live , how love believe Thats I be seen Donise Starbucks lawyer American Bar Association Spirit of Excellence award recipient is an advocate for workplace diversity']",0,"We all need to have a fair chance do what we want ., ",51,
"We all need to have a fair chance do what we want .  How you live , how love believe Thats I be seen Donise Starbucks lawyer American Bar Association Spirit of Excellence award recipient is an advocate for workplace diversity",2020-02-04 22:32:14,Twitter,28,"['We all need to have a fair chance do what we want .', 'How you live , how love believe Thats I be seen Donise Starbucks lawyer American Bar Association Spirit of Excellence award recipient is an advocate for workplace diversity']",1,"How you live , how love believe Thats I be seen Donise Starbucks lawyer American Bar Association Spirit of Excellence award recipient is an advocate for workplace diversity, ",172,
"Were not a monolithic group .  If I dont tell you my story , how would know that didnt share the experiences of other Black people here Edna member tribe Ghana and Starbucks legal practice assistant takes pride in her identity",2020-02-04 22:31:21,Twitter,29,"['Were not a monolithic group .', 'If I dont tell you my story , how would know that didnt share the experiences of other Black people here Edna member tribe Ghana and Starbucks legal practice assistant takes pride in her identity']",0,"Were not a monolithic group ., ",29,
"Were not a monolithic group .  If I dont tell you my story , how would know that didnt share the experiences of other Black people here Edna member tribe Ghana and Starbucks legal practice assistant takes pride in her identity",2020-02-04 22:31:21,Twitter,29,"['Were not a monolithic group .', 'If I dont tell you my story , how would know that didnt share the experiences of other Black people here Edna member tribe Ghana and Starbucks legal practice assistant takes pride in her identity']",1,"If I dont tell you my story , how would know that didnt share the experiences of other Black people here Edna member tribe Ghana and Starbucks legal practice assistant takes pride in her identity, ",195,
"I know there are a lot of people like me out .  can use my story and store resources , show them the pathway forward help advance their growth development is driven to his visibility as manager raise up other leaders color",2020-02-04 22:30:08,Twitter,30,"['I know there are a lot of people like me out .', 'can use my story and store resources , show them the pathway forward help advance their growth development is driven to his visibility as manager raise up other leaders color']",0,"I know there are a lot of people like me out ., ",46,
"I know there are a lot of people like me out .  can use my story and store resources , show them the pathway forward help advance their growth development is driven to his visibility as manager raise up other leaders color",2020-02-04 22:30:08,Twitter,30,"['I know there are a lot of people like me out .', 'can use my story and store resources , show them the pathway forward help advance their growth development is driven to his visibility as manager raise up other leaders color']",1,"can use my story and store resources , show them the pathway forward help advance their growth development is driven to his visibility as manager raise up other leaders color, ",174,
"What you need to fuel your day .  Spinach , Feta CageFree Egg White Wrap 20g protein Sprouted Grain with Avocado Spread sold separately 13g Roasted Red Pepper Sous Vide Bites 12g",2020-02-03 20:30:00,Twitter,31,"['What you need to fuel your day .', 'Spinach , Feta CageFree Egg White Wrap 20g protein Sprouted Grain with Avocado Spread sold separately 13g Roasted Red Pepper Sous Vide Bites 12g']",0,"What you need to fuel your day ., ",32,
"What you need to fuel your day .  Spinach , Feta CageFree Egg White Wrap 20g protein Sprouted Grain with Avocado Spread sold separately 13g Roasted Red Pepper Sous Vide Bites 12g",2020-02-03 20:30:00,Twitter,31,"['What you need to fuel your day .', 'Spinach , Feta CageFree Egg White Wrap 20g protein Sprouted Grain with Avocado Spread sold separately 13g Roasted Red Pepper Sous Vide Bites 12g']",1,"Spinach , Feta CageFree Egg White Wrap g protein Sprouted Grain with Avocado Spread sold separately g Roasted Red Pepper Sous Vide Bites g, ",144,
"Throughout BlackHistoryMonth , were honored to be sharing the personal stories of our partners employees and exploring key moments that shaped who they are strive how encourage others . ",2020-02-01 21:28:13,Twitter,32,"['Throughout BlackHistoryMonth , were honored to be sharing the personal stories of our partners employees and exploring key moments that shaped who they are strive how encourage others .']",0,"Throughout BlackHistoryMonth , were honored to be sharing the personal stories of our partners employees and exploring key moments that shaped who they are strive how encourage others ., ",185,
Cold coffee is best while,2020-02-01 21:51:55,Twitter,33,['Cold coffee is best while'],0,"Cold coffee is best while, ",25,
Whats your Friday Starbucks goto Selfies please,2020-01-31 22:30:01,Twitter,34,['Whats your Friday Starbucks goto Selfies please'],0,"Whats your Friday Starbucks goto Selfies please, ",47,
Its a lifestyle . ,2020-01-30 19:30:01,Twitter,35,['Its a lifestyle .'],0,"Its a lifestyle ., ",17,
Is it ever too cold for coffee,2020-01-29 20:09:48,Twitter,36,['Is it ever too cold for coffee'],0,"Is it ever too cold for coffee, ",30,
Negative temps Being late to work Never keeping you from Iced Coffee,2020-01-28 20:48:02,Twitter,37,['Negative temps Being late to work Never keeping you from Iced Coffee'],0,"Negative temps Being late to work Never keeping you from Iced Coffee, ",68,
Whos got two hands and drinks no matter what,2020-01-27 22:30:00,Twitter,38,['Whos got two hands and drinks no matter what'],0,"Whos got two hands and drinks no matter what, ",44,
Sunday scaries We dont know her . ,2020-01-26 22:06:20,Twitter,39,['Sunday scaries We dont know her .'],0,"Sunday scaries We dont know her ., ",33,
.  Iced Coffee lasts longer in the cold,2020-01-24 20:15:25,Twitter,40,"['.', 'Iced Coffee lasts longer in the cold']",1,"Iced Coffee lasts longer in the cold, ",36,
Take your coffee break without breaking resolutions .  Iced Starbucks Latte 180 cal Nitro Cold Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35,2020-01-24 04:14:02,Twitter,41,"['Take your coffee break without breaking resolutions .', 'Iced Starbucks Latte 180 cal Nitro Cold Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35']",0,"Take your coffee break without breaking resolutions ., ",53,
Take your coffee break without breaking resolutions .  Iced Starbucks Latte 180 cal Nitro Cold Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35,2020-01-24 04:14:02,Twitter,41,"['Take your coffee break without breaking resolutions .', 'Iced Starbucks Latte 180 cal Nitro Cold Brew 5 Doubleshot on Ice 100 Sweet Cream 110 Coffee 80 with Foam 35']",1,"Iced Starbucks Latte  cal Nitro Cold Brew  Doubleshot on Ice  Sweet Cream  Coffee  with Foam , ",107,
Cozy as can be . ,2020-01-23 19:30:01,Twitter,42,['Cozy as can be .'],0,"Cozy as can be ., ",16,
"We will pursue a bold , multidecade aspiration to become resource positive and give more than we take from the planet . ",2020-01-21 19:40:44,Twitter,43,"['We will pursue a bold , multidecade aspiration to become resource positive and give more than we take from the planet .']",0,"We will pursue a bold , multidecade aspiration to become resource positive and give more than we take from the planet ., ",119,
"This is the perfect way to end a long hard day .  My 8 yr old says at Starbucks eating her cake pop Never grow up , kid",2020-01-17 03:28:05,Twitter,44,"['This is the perfect way to end a long hard day .', 'My 8 yr old says at Starbucks eating her cake pop Never grow up , kid']",0,"This is the perfect way to end a long hard day ., ",48,
"This is the perfect way to end a long hard day .  My 8 yr old says at Starbucks eating her cake pop Never grow up , kid",2020-01-17 03:28:05,Twitter,44,"['This is the perfect way to end a long hard day .', 'My 8 yr old says at Starbucks eating her cake pop Never grow up , kid']",1,"My  yr old says at Starbucks eating her cake pop Never grow up , kid, ",69,
Cancelling plans is ok .  Ordering a venti Drinking iced coffee in winter Showing up late with Starbucks ok.  Do what you need to do,2020-01-17 20:30:01,Twitter,45,"['Cancelling plans is ok .', 'Ordering a venti Drinking iced coffee in winter Showing up late with Starbucks ok.  Do what you need to do']",0,"Cancelling plans is ok ., ",24,
Cancelling plans is ok .  Ordering a venti Drinking iced coffee in winter Showing up late with Starbucks ok.  Do what you need to do,2020-01-17 20:30:01,Twitter,45,"['Cancelling plans is ok .', 'Ordering a venti Drinking iced coffee in winter Showing up late with Starbucks ok.  Do what you need to do']",1,"Ordering a venti Drinking iced coffee in winter Showing up late with Starbucks ok.  Do what you need to do, ",106,
"Your community matters .  Thats why United Way is stepping up and out into neighborhoods with Starbucks Together , UnitedWay are strengthening communities in stores by driving impact for underserved people CommunityStores",2020-01-16 21:36:13,Twitter,46,"['Your community matters .', 'Thats why United Way is stepping up and out into neighborhoods with Starbucks Together , UnitedWay are strengthening communities in stores by driving impact for underserved people CommunityStores']",0,"Your community matters ., ",24,
"Your community matters .  Thats why United Way is stepping up and out into neighborhoods with Starbucks Together , UnitedWay are strengthening communities in stores by driving impact for underserved people CommunityStores",2020-01-16 21:36:13,Twitter,46,"['Your community matters .', 'Thats why United Way is stepping up and out into neighborhoods with Starbucks Together , UnitedWay are strengthening communities in stores by driving impact for underserved people CommunityStores']",1,"Thats why United Way is stepping up and out into neighborhoods with Starbucks Together , UnitedWay are strengthening communities in stores by driving impact for underserved people CommunityStores, ",195,
"Starbucks plans to expand CommunityStores in 100 underserved neighborhoods across the US , working with nonprofits and civic leaders bolster economic growth .  Learn more",2020-01-16 19:46:03,Twitter,47,"['Starbucks plans to expand CommunityStores in 100 underserved neighborhoods across the US , working with nonprofits and civic leaders bolster economic growth .', 'Learn more']",0,"Starbucks plans to expand CommunityStores in  underserved neighborhoods across the US , working with nonprofits and civic leaders bolster economic growth ., ",158,
"Starbucks plans to expand CommunityStores in 100 underserved neighborhoods across the US , working with nonprofits and civic leaders bolster economic growth .  Learn more",2020-01-16 19:46:03,Twitter,47,"['Starbucks plans to expand CommunityStores in 100 underserved neighborhoods across the US , working with nonprofits and civic leaders bolster economic growth .', 'Learn more']",1,"Learn more, ",10,
"Thank you for paying it backward , Brynn",2020-01-16 03:20:13,Twitter,48,"['Thank you for paying it backward , Brynn']",0,"Thank you for paying it backward , Brynn, ",40,
"can have a little cold foam , as treat . ",2020-01-15 04:41:23,Twitter,49,"['can have a little cold foam , as treat .']",0,"can have a little cold foam , as treat ., ",40,
"Unwrap this cozy classic , the is back . ",2020-01-13 19:30:00,Twitter,50,"['Unwrap this cozy classic , the is back .']",0,"Unwrap this cozy classic , the is back ., ",40,
Dont spend your Sunday worrying about Monday .  There will be coffee,2020-01-12 22:30:00,Twitter,51,"['Dont spend your Sunday worrying about Monday .', 'There will be coffee']",0,"Dont spend your Sunday worrying about Monday ., ",46,
Dont spend your Sunday worrying about Monday .  There will be coffee,2020-01-12 22:30:00,Twitter,51,"['Dont spend your Sunday worrying about Monday .', 'There will be coffee']",1,"There will be coffee, ",20,
Please join The Starbucks Foundation in helping those affected by the Australian bushfires .  today at,2020-01-10 04:10:21,Twitter,52,"['Please join The Starbucks Foundation in helping those affected by the Australian bushfires .', 'today at']",0,"Please join The Starbucks Foundation in helping those affected by the Australian bushfires ., ",92,
Please join The Starbucks Foundation in helping those affected by the Australian bushfires .  today at,2020-01-10 04:10:21,Twitter,52,"['Please join The Starbucks Foundation in helping those affected by the Australian bushfires .', 'today at']",1,"today at, ",8,
"Crack open the new , just for you nondairy CoconutmilkLatte . ",2020-01-09 18:30:00,Twitter,53,"['Crack open the new , just for you nondairy CoconutmilkLatte .']",0,"Crack open the new , just for you nondairy CoconutmilkLatte ., ",61,
"Starting January 7 , customers in the Midwest can try NEW Oatmilk Honey Latte at participating stores .  Learn more",2020-01-07 22:00:58,Twitter,54,"['Starting January 7 , customers in the Midwest can try NEW Oatmilk Honey Latte at participating stores .', 'Learn more']",0,"Starting January  , customers in the Midwest can try NEW Oatmilk Honey Latte at participating stores ., ",103,
"Starting January 7 , customers in the Midwest can try NEW Oatmilk Honey Latte at participating stores .  Learn more",2020-01-07 22:00:58,Twitter,54,"['Starting January 7 , customers in the Midwest can try NEW Oatmilk Honey Latte at participating stores .', 'Learn more']",1,"Learn more, ",10,
"All new , all you .  The nondairy really hits the spot",2020-01-07 18:30:01,Twitter,55,"['All new , all you .', 'The nondairy really hits the spot']",0,"All new , all you ., ",19,
"All new , all you .  The nondairy really hits the spot",2020-01-07 18:30:01,Twitter,55,"['All new , all you .', 'The nondairy really hits the spot']",1,"The nondairy really hits the spot, ",33,
"Today , were adding Headspace to our suite of comprehensive benefits as research shows many mental healthrelated meditation .  Our chief partner officer shared this news with partners today Heres why its so important",2020-01-06 21:20:53,Twitter,56,"['Today , were adding Headspace to our suite of comprehensive benefits as research shows many mental healthrelated meditation .', 'Our chief partner officer shared this news with partners today Heres why its so important']",0,"Today , were adding Headspace to our suite of comprehensive benefits as research shows many mental healthrelated meditation ., ",125,
"Today , were adding Headspace to our suite of comprehensive benefits as research shows many mental healthrelated meditation .  Our chief partner officer shared this news with partners today Heres why its so important",2020-01-06 21:20:53,Twitter,56,"['Today , were adding Headspace to our suite of comprehensive benefits as research shows many mental healthrelated meditation .', 'Our chief partner officer shared this news with partners today Heres why its so important']",1,"Our chief partner officer shared this news with partners today Heres why its so important, ",89,
"Its the first Monday of 2020 .  Youve got this Love , Coffee",2020-01-06 19:28:19,Twitter,57,"['Its the first Monday of 2020 .', 'Youve got this Love , Coffee']",0,"Its the first Monday of  ., ",30,
