group_flag,groups,X,Y,count
Themes,Complements,0.4991671216398948,-0.05698710033351239,2
Themes,Consumer,-0.2044718536858371,0.2814096005418322,31
Themes,Customization,0.4991671216398948,-0.05698710033351239,8
Themes,Health,0.4991671216398948,-0.05698710033351239,10
Themes,Occasion,0.2061470956583641,1.2723198853306865,7
Themes,Other Drinks,-0.5735121974401544,-0.5078805434885503,2
Themes,Packaging/Delivery,-1.6461915165202035,-0.9587739866435883,5
Themes,Place,0.3526571086491294,0.607666392498587,9
Themes,Preparation/Consumption,-0.0371725379001298,-0.28243382191103134,9
Themes,Quality,-1.6461915165202035,-0.9587739866435883,1
Themes,Setting,-0.11169765892113086,-0.1449335385008757,34
Themes,Social_Chat,0.4991671216398948,-0.05698710033351239,2
Themes,Taste,1.5630909105109676,-1.2385690374081162,5
Themes,Utilities,-1.6461915165202035,-0.9587739866435883,2
Emotions,angry,2.401930973663385,-2.1121067362395984,1
Emotions,excited,-0.31420263230232215,0.47988210184124835,1
Emotions,happy,-1.0712826574314396,-0.5622385239125438,9
Emotions,hopeful,0.03880968390400505,1.1358683779151955,6
Emotions,neutral,0.3248401387119081,-0.03341803555364958,25
Emotions,sad,-0.2666819985666121,0.23753732365377184,3
