group_flag,groups,X,Y,count
Themes,Brand,-0.2013173488480483,0.060115248261705945,24
Themes,Complements,-0.8927758267918896,0.7866687011595276,12
Themes,Consumer,0.06295613321165872,-0.18913476484137284,375
Themes,Cost,0.3309858380140776,-0.07095885401311663,266
Themes,Customization,0.10352217612796419,-0.31122496456170534,26
Themes,Health,0.0905722224367081,-0.17546019467969068,114
Themes,Occasion,0.17134450229396744,-0.17268897708849135,297
Themes,Other Drinks,0.05762686598682552,-0.27256424201104285,20
Themes,Packaging/Delivery,0.2845154150100346,-0.22278847382512373,244
Themes,Place,0.09362626393349896,-0.2879162885491353,100
Themes,Preparation/Consumption,-0.044512924519538366,-0.2545372421697135,21
Themes,Quality,0.16261550953077847,-0.24848423523400837,65
Themes,Seasonality,0.40476696253501254,-0.3949531867156909,10
Themes,Setting,-0.3887486406879114,0.26045288141963496,1128
Themes,Social_Chat,2.4053707808272,1.5682307803501199,32
Themes,Taste,0.4720931573851756,-0.7932700875486629,2
Themes,Utilities,-0.14886737790638863,-0.14910477113826054,52
Emotions,angry,-0.05348622742056336,-0.5904329648768427,5
Emotions,delighted,-0.474555487871851,0.3233134817469198,265
Emotions,disappointed,0.46709136902768367,-0.20500395591082024,29
Emotions,excited,2.6444290936904227,1.7441198692552342,13
Emotions,happy,0.19218054553325747,-0.23259729891450315,293
Emotions,hopeful,0.3023430879483631,0.0008244496005921326,107
Emotions,neutral,-0.00020380831403202064,-0.1156436707453164,355
Emotions,sad,-0.3744946713168904,0.34506943470784274,28
