review,date,source,review_id,sentences,sentence_id,sentence,sent_len,emoji_desc
Mutual Fund in USA News Android Apps on Google Play httpbit. ly1VnjObt,2016-02-02 23:32:27,Twitter,1,"['Mutual Fund in USA News Android Apps on Google Play httpbit.', 'ly1VnjObt']",0,"Mutual Fund in USA News Android Apps on Google Play httpbit., ",60,
Mutual Fund in USA News Android Apps on Google Play httpbit. ly1VnjObt,2016-02-02 23:32:27,Twitter,1,"['Mutual Fund in USA News Android Apps on Google Play httpbit.', 'ly1VnjObt']",1,"lyVnjObt, ",9,
"the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18. 2 trillion httpbit. ly1VnjObt",2016-01-26 19:27:02,Twitter,2,"['the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18.', '2 trillion httpbit.', 'ly1VnjObt']",0,"the end of  , there were over , mutual funds in United States with combined assets ., ",95,
"the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18. 2 trillion httpbit. ly1VnjObt",2016-01-26 19:27:02,Twitter,2,"['the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18.', '2 trillion httpbit.', 'ly1VnjObt']",1," trillion httpbit., ",19,
"the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18. 2 trillion httpbit. ly1VnjObt",2016-01-26 19:27:02,Twitter,2,"['the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18.', '2 trillion httpbit.', 'ly1VnjObt']",2,"lyVnjObt, ",9,
"At the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18. 2 trillion httpbit. ly1VnjObt",2016-01-26 19:26:00,Twitter,3,"['At the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18.', '2 trillion httpbit.', 'ly1VnjObt']",0,"At the end of  , there were over , mutual funds in United States with combined assets ., ",98,
"At the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18. 2 trillion httpbit. ly1VnjObt",2016-01-26 19:26:00,Twitter,3,"['At the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18.', '2 trillion httpbit.', 'ly1VnjObt']",1," trillion httpbit., ",19,
"At the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18. 2 trillion httpbit. ly1VnjObt",2016-01-26 19:26:00,Twitter,3,"['At the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18.', '2 trillion httpbit.', 'ly1VnjObt']",2,"lyVnjObt, ",9,
Mutual Fund in USA News About the U. S.  Score httpbit. ly1VnjObt,2016-01-26 19:25:02,Twitter,4,"['Mutual Fund in USA News About the U. S.  Score httpbit.', 'ly1VnjObt']",0,"Mutual Fund in USA News About the U. S.  Score httpbit., ",55,
Mutual Fund in USA News About the U. S.  Score httpbit. ly1VnjObt,2016-01-26 19:25:02,Twitter,4,"['Mutual Fund in USA News About the U. S.  Score httpbit.', 'ly1VnjObt']",1,"lyVnjObt, ",9,
Mutual Fund in USA News Android Apps on Google httpbit. ly1VnjObt,2016-01-26 19:19:26,Twitter,5,"['Mutual Fund in USA News Android Apps on Google httpbit.', 'ly1VnjObt']",0,"Mutual Fund in USA News Android Apps on Google httpbit., ",55,
Mutual Fund in USA News Android Apps on Google httpbit. ly1VnjObt,2016-01-26 19:19:26,Twitter,5,"['Mutual Fund in USA News Android Apps on Google httpbit.', 'ly1VnjObt']",1,"lyVnjObt, ",9,
