group_flag,groups,X,Y,count
Themes,Complements,-0.4830458915396472,-0.4082482904638628,2
Themes,Consumer,-0.4830458915396478,-0.4082482904638629,18
Themes,Occasion,5.551281874012859e-16,2.4494897427831783,12
Themes,Setting,-0.4830458915396476,-0.4082482904638629,22
Themes,Social_Chat,2.4152294576982394,-0.4082482904638634,2
Emotions,delighted,3.1826214364373095e-16,2.449489742783178,2
Emotions,happy,2.41522945769824,-0.4082482904638639,2
Emotions,hopeful,-0.4830458915396482,-0.40824829046386285,2
Emotions,neutral,-0.48304589153964794,-0.40824829046386263,6
Emotions,sad,-0.4830458915396484,-0.4082482904638628,2
